author,text,date_posted,rating,review_id,bug_detected,feature_request
Nathan Davies,"I changed my review to tell everyone, absolutely do not spend money on this game!! Once you get to a certain level ,it's almost impossible to beat and most upgrades are unreachable unless you spend money, and that doesn't help. I'd give it a zero star rating if I could. I'm going to wait to delete it to get some of my money worth. Has potential if it wasn't set up to pay to simply move on to the next level. Disappointed all the way around.",10-11-2024 00:32,1,a0a387cd-4891-45a3-a872-1caec9b38663,TRUE,TRUE
Ryan F,"Each level you fight off zombies & acquire ""random"" upgrades throughout. The game withholds gun upgrades so you lose a lot. It's not random and offers everything BUT what you need to win. Played 15 matches, lost them all, no gun upgrades at all. So you burn energy and lose until you can't play or spend $$$. The game is SO SLOW and forces you to replay the same boring levels way too much. Upgrades take ages to aquire. UI is slow, cluttered, looks like garbage, not intuitive, and overall just bad.",15-08-2024 17:39,1,9b7d8ccb-f064-4989-91d6-2f633da8aeab,FALSE,TRUE
orion jacobs,"Not worth time or money. I do NOT support this game. Down voted and deleted. Tired of extreme power increase per stages and lack of power progression to play. Skill selection is too random, under powered and useless. Half the time the hired mercs are shooting at nothing or shooting behind them. Reported bug with skills aiming lower left of target 90% when at the gate and nothing is fixed or acknowledge. Recommend looking for a better mob game available elsewhere.",12-08-2024 01:44,1,8ac31b6b-7d7e-42e7-9913-ca9d83e97e49,TRUE,FALSE
Steve B,Been playing for about 2 months. Fun game but upgrading doesn't seem to make any difference. New levels are much harder than the previous so upgrading your gear and skills make very little difference. Game playability could be better if they made some clear-cut improvements. Players need to feel like they are progressing or they may feel its just a long grind for no reason.,07-08-2024 14:13,3,a703d257-1bcf-4eb7-9e2b-85a5f8b501da,FALSE,TRUE
Matthew Edward Campbell,Graphically this game is excellent. I really want to like this game but the balance is so poor 👎. It's not fun when the success of each level is mostly based on luck that you'll be able to get the option that will enable you to win. This is the second time I've given this game a chance and it's more true now than the first time I played it. I've since deleted it. Play another game that doesn't waste your time.,22-10-2024 20:00,2,a9bc01f9-61d5-4c58-b74f-ca4a42c00113,FALSE,FALSE
Brandon Kelson,"Pretty good game, cool graphics, and challenging levels. My only issue is that when I choose to invite for a global challenge, I keep getting disconnected. The server may need an upgrade on the games end. Other than that, I have been a little bit of a pay to play gamer, so I hope they fix this issue soon. I'm from North America. Also, the customer service is really good at addressing issues you might have, and they are kind.",21-08-2024 13:38,5,b345bd39-8624-45f9-971e-787db5b3934e,TRUE,TRUE
Matt Stanley,"Typical money hungry game. Difficulty level spikes up so fast you can't progress without throwing money at it and those ""first purchase"" options are ridiculous. 40$ for a character skin that barely increases your chance of winning. GTFO with your BS devs. Sad part is the game is cool, but just gets to an unplayable point without throwing away money on diamonds to have a CHANCE of winning decent gear, which btw is .005% as shown right on they're loot box drop rates. Worst kind of greedy",28-10-2024 12:21,1,b76f880d-ec19-48e7-9cf4-ccdd57666b7a,FALSE,FALSE
Brian B,"I've been playing for a while and finally had to uninstall. There are so many skills and items that you can NOT get that are very beneficial without spending real money. You can't even grind to get them, they're simply unavailable without spending. Leveling up what you can get is so unbalanced. It costs so many resources. They do that so you spend in micro transactions. I've seen unbalanced games before, but this is truly insane. It's too bad, it could be a great game. Greed ruined it again...",02-08-2024 14:20,1,09374bdb-5f8e-45be-a664-6b585cd53a9f,FALSE,FALSE
Kyle Moyer,"Was fun for a while, until they merged servers. Went from being consistently in the top ten to being in the top 400... I get it. I do. Merging servers reduces costs, and low costs means more money reinvested into improvements. This is not an improvement. This is just discouraging. This does not make me more likely to buy mtxs. It just makes me want to quit. Oh. Wait... I do. L",14-10-2024 06:16,1,a1edff88-b353-4207-954e-ea3d6abf385f,FALSE,TRUE
Michael Ciccarone,"A game the looks alright but is an extreme grind even in comparison to other pay 2 win games. Events are broken, powerups are the pretty much the same, and ""multiplayer"" coop mode is full of cancelations or lack of players. I tried this game for several weeks (I got up to level 61) and all unlockable features were all the same. Not worth any in game purchases.",02-09-2024 00:32,2,98d263f8-3224-4765-b30f-07c7ded08a9d,FALSE,TRUE
